,Year,Mon,Month,PRCP,TMAX,TMIN,RH,EVP,TSUN,U2,PET,SPI
249,Sep-81,9,SEP,252.9,29.3,20.9,85,2.7,4.7,5,135.6187332,0.477650273
250,Oct-81,10,OCT,98.3,31.2,22.2,82,3,6.8,4,158.5002559,-0.511737831
251,Nov-81,11,NOV,0,32.2,19.3,61,7.9,6.4,4,170.4169948,-0.253347103
252,Dec-81,12,DEC,0,31.9,20.1,76,6.9,7.3,3,151.2372321,0.604585347
253,Jan-82,1,JAN,8,34.1,20.2,49,9.9,8,4,158.1204696,0.892042795
254,Feb-82,2,FEB,28.9,36.3,22.1,58,8.8,6,3,139.250469,1.078301425
255,Mar-82,3,MAR,22.2,34.9,22.9,68,7.7,6.3,6,191.1884325,-0.602069438
256,Apr-82,4,APR,141.8,35.3,22.7,76,6,6.6,6,200.6326435,0.64798404
257,May-82,5,MAY,150.6,35.2,22.5,81,3.4,6.5,7,220.6170489,-0.010798951
258,Jun-82,6,JUN,127.2,30.9,21.9,82,3,5,5,137.0567306,-0.990877662
259,Jul-82,7,JUL,76.7,30.2,20.9,85,2.8,3.4,6,153.3666431,-1.184170983
260,Aug-82,8,AUG,182.5,30.1,20.7,84,2.9,2.6,5,164.7208018,0.568461236
261,Sep-82,9,SEP,247.8,30,20.6,86,2.1,3.8,4,137.3218801,0.415852353
262,Oct-82,10,OCT,229.4,32.2,21.3,84,2.2,6.2,4,168.2620521,0.968931823
263,Nov-82,11,NOV,0,33.9,20.3,70,4.9,6.7,4,181.728187,-0.253347103
264,Dec-82,12,DEC,0,34.1,20.1,65,6.6,6.8,3,167.7931251,0.604585347
265,Jan-83,1,JAN,0,33.3,17.2,23,13.5,3.1,5,180.7185957,0.253347103
266,Feb-83,2,FEB,8.6,35.1,21.5,57,9.8,6.5,5,160.4756178,0.354152646
267,Mar-83,3,MAR,15,34.9,22.9,52,11.6,5.9,6,183.5804313,-0.979200956
268,Apr-83,4,APR,92.3,34.2,23.6,74,6.3,7.2,7,176.3815333,-0.107571252
269,May-83,5,MAY,175.1,32.1,22.8,77,4.5,7,5,164.7653533,0.34304183
270,Jun-83,6,JUN,146.2,30.3,21.9,81,3.3,4.4,6,157.4229597,-0.639088967
271,Jul-83,7,JUL,91.8,29.1,21.1,84,2.9,3.5,6,151.770259,-0.875811128
272,Aug-83,8,AUG,215.9,27.9,20.6,87,2.5,2.5,5,125.4484685,0.867754012
273,Sep-83,9,SEP,228.3,30.1,20.8,84,2.5,5.2,5,141.6927677,0.171478604
274,Oct-83,10,OCT,34,32.2,21.6,77,4.2,6.2,5,175.252152,-1.900661619
275,Nov-83,11,NOV,1.7,34.3,23.1,72,5.8,7.8,3,162.5561877,0.085598398
276,Dec-83,12,DEC,148.3,33.3,21.3,76,4.4,7.3,3,163.6979949,2.386374537
277,Jan-84,1,JAN,0,33.1,18.2,56,9,5.6,3,149.3473341,0.253347103
278,Feb-84,2,FEB,0,35.3,22.3,68,10.5,7,4,157.1479779,-0.253347103
279,Mar-84,3,MAR,83.5,35.1,23.9,73,6.6,7.1,6,194.8426093,1.240545476
280,Apr-84,4,APR,88.3,33.9,22.8,79,5,6.2,6,192.5373611,-0.179613229
281,May-84,5,MAY,139.9,31.8,21.7,77,3.6,6.4,8,189.8171071,-0.17749312
